EXPERIMENT ID	PUBMED ID	SPECIES	EXPERIMENT DESCRIPTION	SAMPLE	SAMPLE SOURCE	SAMPLE NAME	IDENTIFICATIONS	METHODS	YEAR	ISOLATION METHOD	VESICLE TYPE
1	6307529	Ovis aries	Fate of the transferrin receptor during maturation of sheep reticulocytes in vitro: selective externalization of the receptor.	Reticulocytes	ts	Reticulocytes	Protein	Antibody based methods	1983	-	Exosomes
2	3597417	Ovis aries	Vesicle formation during reticulocyte maturation. Association of plasma membrane activities with released vesicles (exosomes).	Reticulocytes	ts	Reticulocytes	Protein|Lipids	Enzyme assay|Antibody based methods	1987	Differential centrifugation	Exosomes
3	10545503	Mus musculus	Molecular characterization of dendritic cell-derived exosomes. Selective accumulation of the heat shock protein hsc73.	Dendritic cells	cl	D1	Protein	Mass spectrometry [MALDI TOF]|Western blotting	1999	Differential centrifugation|Sucrose density gradient	Exosomes
4	11487543	Homo sapiens	Intestinal epithelial cells secrete exosome-like vesicles.	Epithelial cells	cl	HT29-19A|T84-DRB1*0401/CIITA (intestinal epithelial cells)	Protein	Mass spectrometry [MALDI TOF]|Western blotting	2001	Differential centrifugation|Sucrose density gradient	Exosomes
5	11145662	Mus musculus	Mast cell-dependent B and T lymphocyte activation is mediated by the secretion of immunologically active exosomes.	Mast cells	cl	P815|MC9|Bone marrow-derived mast cells 	Protein	Mass spectrometry [MALDI TOF]|ELISA	2001	Differential centrifugation	Exosomes
6	11306949	Mus musculus	Nonspecific B and T cell-stimulatory activity mediated by mast cells is associated with exosomes.	Mast cells	ts	Bone marrow-derived mast cells 	Protein	Western blotting	2001	-	Exosomes
7	12626558	Mus musculus	Mast cell-derived exosomes induce phenotypic and functional maturation of dendritic cells and elicit specific immune responses in vivo.	Mast cells	ts	Bone marrow-derived mast cells	Protein	Western blotting	2003	Differential centrifugation	Exosomes
8	12626558	Mus musculus	Mast cell-derived exosomes induce phenotypic and functional maturation of dendritic cells and elicit specific immune responses in vivo.	B cells	ts	B cells	Protein	Western blotting	2003	Differential centrifugation	Exosomes
9	12626558	Mus musculus	Mast cell-derived exosomes induce phenotypic and functional maturation of dendritic cells and elicit specific immune responses in vivo.	Macrophage	ts	Macrophages	Protein	Western blotting	2003	Differential centrifugation	Exosomes
10	11390481	Mus musculus	Proteomic analysis of dendritic cell-derived exosomes: a secreted subcellular compartment distinct from apoptotic vesicles.	Dendritic cells	cl	D1	Protein	Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]|Western blotting	2001	Differential centrifugation|Sucrose density gradient	Exosomes
11	12519789	Homo sapiens	Proteomic and biochemical analyses of human B cell-derived exosomes. Potential implications for their function and multivesicular body formation.	B cells	cl	RN (HLA-DR15+) 	Protein|Lipids	Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]|Western blotting|Thin layer chromatography|High performance liquid chromatography	2003	Differential centrifugation|Sucrose density gradient	Exosomes
12	15478216	Homo sapiens	Proteomic analysis of melanoma-derived exosomes by two-dimensional polyacrylamide gel electrophoresis and mass spectrometry.	Melanoma cells	cl	MeWo|SK-MEL-28	Protein	Mass spectrometry [4700 Proteomics Analyzer]|Western blotting	2004	Filtration|Ultracentrifugation|Sucrose density gradient	Exosomes
13	15326289	Homo sapiens	Identification and proteomic profiling of exosomes in human urine.	Urine	ts	Urine - Normal	Protein	Mass spectrometry [LCQ DECA XP]|Western blotting	2004	Ultracentrifugation	Exosomes
14	16081791	Mus musculus	Proteomic analysis of microglia-derived exosomes: metabolic role of the aminopeptidase CD13 in neuropeptide catabolism.	Microglia	cl	N9	Protein	Mass spectrometry [LCQ DECA XP]|Western blotting	2005	Differential centrifugation|Sucrose density gradient	Exosomes
15	17486113	Mus musculus|Homo sapiens	Exosome-mediated transfer of mRNAs and microRNAs is a novel mechanism of genetic exchange between cells.	Mast cells	cl|ts	MC9|Bone marrow-derived mast cells|HMC-1	Protein|mRNA|miRNA	Mass spectrometry [MALDI TOF]|Western blotting|Microarray|MicroRNA array [miRCURY LNA Array]	2007	Filtration|Ultracentrifugation|Sucrose density gradient	Exosomes
16	9685355	Homo sapiens	Selective enrichment of tetraspan proteins on the internal vesicles of multivesicular endosomes and on exosomes secreted by human B-lymphocytes.	B cells	cl	RN (HLA-DR15+) 	Protein	Western blotting|Immunoelectron microscopy	1998	Differential centrifugation|Sucrose density gradient	Exosomes
17	11907077	Homo sapiens	TCR activation of human T cells induces the production of exosomes bearing the TCR/CD3/zeta complex.	T cells	cl	Jurkat|T cell blasts|E+ cells|MART-1+ T cell	Protein	Western blotting|Immunoelectron microscopy	2002	Filtration|Ultracentrifugation	Exosomes
18	11907077	Homo sapiens	TCR activation of human T cells induces the production of exosomes bearing the TCR/CD3/zeta complex.	T cells	cl	Jurkat|T cell blasts	Protein	FACS	2002	Filtration|Ultracentrifugation	Exosomes
19	16302729	Homo sapiens	Purification, characterization and biological significance of tumor-derived exosomes.	Breast cancer cells	cl	BT-474|MDA-MB-231	Protein	Western blotting|FACS	2005	Differential centrifugation|Sucrose density gradient|Filtration|Immunobeads(HER2)	Exosomes
20	17956143	Homo sapiens	Proteomic analysis of microvesicles derived from human colorectal cancer cells.	Colorectal cancer cells	cl	HT29	Protein	Mass spectrometry [LTQ]|Western blotting	2007	Differential centrifugation|Sucrose density gradient|Diafiltration	Exosomes
21	19837982	Homo sapiens	Proteomic and bioinformatic analysis of immunoaffinity-purified exosomes derived from the human colon tumor cell line LIM1215.	Colorectal cancer cells	cl	LIM1215	Protein	Mass spectrometry [Orbitrap]|Western blotting	2009	Filtration|Ultracentrifugation|Sucrose density gradient	Exosomes
22	15940614	Homo sapiens	Human colorectal cancer cells induce T-cell death through release of proapoptotic microvesicles: role in immune escape.	Colorectal cancer cells	cl	SW403|1869col|CRC28462	Protein	Western blotting|Immunoelectron microscopy|FACS	2005	Differential centrifugation	Exosomes
23	11231627	Mus musculus	Tumor-derived exosomes are a source of shared tumor rejection antigens for CTL cross-priming.	Breast cancer cells	cl	TS/A (H-2d)|P815 mastocytoma cells (H-2d)	Protein	Western blotting|Immunoelectron microscopy	2001	Differential centrifugation|Sucrose density gradient	Exosomes
24	11231627	Homo sapiens	Tumor-derived exosomes are a source of shared tumor rejection antigens for CTL cross-priming.	Melanoma cells	cl	Fon|Mel-888	Protein	Western blotting	2001	Differential centrifugation|Sucrose density gradient	Exosomes
25	15111327	Homo sapiens	Proteomic analysis of exosomes secreted by human mesothelioma cells.	Mesothelioma cells	cl	PMR-MM7|PMR-MM8	Protein	Mass spectrometry [MALDI TOF]|Western blotting	2004	Differential centrifugation	Exosomes
26	19109410	Mus musculus	Proteomic and immunologic analyses of brain tumor exosomes.	Brain cancer cells	cl	SMA560vIII	Protein	Mass spectrometry [MALDI TOF/TOF]|Western blotting	2008	Differential centrifugation|Sucrose density gradient	Exosomes
27	19109410	Homo sapiens	Proteomic and immunologic analyses of brain tumor exosomes.	Medulloblastoma cells	cl	D283MED	Protein	Western blotting	2008	Differential centrifugation|Sucrose density gradient	Exosomes
28	19109410	Homo sapiens	Proteomic and immunologic analyses of brain tumor exosomes.	Glioma cells	cl	X43,T|D456MG|H2159MG|D54MG|D247MG	Protein	Western blotting	2008	Differential centrifugation|Sucrose density gradient	Exosomes
29	19109410	Homo sapiens	Proteomic and immunologic analyses of brain tumor exosomes.	Serum	ts	Serum - Brain tumor	Protein	Western blotting	2008	Differential centrifugation|Sucrose density gradient	Exosomes
30	16446100	Rattus norvegicus	Exosomes are released by cultured cortical neurones.	Cortical neurons	ts	Neurones	Protein	Mass spectrometry [QTOF]|Western blotting	2006	Differential centrifugation|Sucrose density gradient	Exosomes
31	10572093	Homo sapiens	Activated platelets release two types of membrane vesicles: microvesicles by surface shedding and exosomes derived from exocytosis of multivesicular bodies and alpha-granules.	Platelets	ts	Platelets	Protein	Western blotting|FACS|Immunoelectron microscopy	1999	Differential centrifugation|Sucrose density gradient	Exosomes
32	18452139	Homo sapiens	Primary human keratinocytes externalize stratifin protein via exosomes.	Keratinocytes	ts	Keratinocytes	Protein	Western blotting	2008	Differential centrifugation|Sucrose density gradient|Diafiltration	Exosomes
33	21136642	Mus musculus	Oligodendrocytes secrete exosomes containing major myelin and stress-protective proteins: Trophic support for axons?	Oligodendrocytes	ts	Oligodendrocytes|Oli-neu	Protein	Mass spectrometry [QTOF]|Western blotting|Immunoelectron microscopy	2007	Differential centrifugation|Sucrose density gradient	Exosomes
34	19190083	Homo sapiens	Characterization of exosome-like vesicles released from human tracheobronchial ciliated epithelium: a possible role in innate defense.	Tracheobronchial cells	ts	Tracheobronchial epithelial cells	Protein|mRNA	Mass spectrometry [QTOF]|Western blotting|Immunoelectron microscopy|FACS	2009	Differential centrifugation|Filtration|Sucrose density gradient	Exosomes
35	19367702	Rattus norvegicus	Characterization and Comprehensive Proteome Profiling of Exosomes Secreted by Hepatocytes.	Hepatocytes	ts	Hepatocytes	Protein	Mass spectrometry [QTOF]|Western blotting	2008	Differential centrifugation|Filtration|Sucrose density gradient	Exosomes
36	19367702	Mus musculus	Characterization and Comprehensive Proteome Profiling of Exosomes Secreted by Hepatocytes.	Hepatocytes	cl	MLP-29	Protein	Western blotting	2008	Differential centrifugation|Filtration	Exosomes
37	10878338	Homo sapiens	Direct immunosuppressive effects of EBV-encoded latent membrane protein 1.	B cells	cl	JY|B95-8	Protein	Western blotting	2000	Differential centrifugation	Exosomes
38	15210972	Oryctolagus cuniculus	Cells release prions in association with exosomes.	Epithelial cells	cl	RK13 (Rov epithelial cells)	Protein	Western blotting|Immunoelectron microscopy	2004	Differential centrifugation|Sucrose density gradient	Exosomes
39	15210972	Mus musculus	Cells release prions in association with exosomes.	Mov neuroglial cell	cl	Mov neuroglial cell	Protein	Mass spectrometry [QSTAR]|Western blotting|Immunoelectron microscopy	2004	Differential centrifugation|Sucrose density gradient	Exosomes
40	15908444	Homo sapiens	Exosomal-like vesicles are present in human blood plasma.	Plasma	ts	Plasma - Normal	Protein	Western blotting|FACS|Immunoelectron microscopy	2005	Differential centrifugation|Filtration|Sucrose density gradient	Exosomes
41	15908444	Homo sapiens	Exosomal-like vesicles are present in human blood plasma.	Mast cells	cl	HMC-1	Protein	Western blotting|FACS|Immunoelectron microscopy	2005	Differential centrifugation|Filtration|Sucrose density gradient	Exosomes
42	15908444	Homo sapiens	Exosomal-like vesicles are present in human blood plasma.	Bone marrow cells	cl	PBMC	Protein	Western blotting	2005	Differential centrifugation|Filtration|Sucrose density gradient	Exosomes
43	17076679	Homo sapiens	Specific isolation of placenta-derived exosomes from the circulation of pregnant women and their immunoregulatory consequences.	Plasma	ts	Plasma - Pregnant and not-pregnant women	Protein	Western blotting	2006	Size exclusion chromatography|Ultracentrifugation|Immunobeads (CD3, CD19, CD56, CD83, PLAP)	Exosomes
44	19028452	Homo sapiens	Proteomic profiling of human plasma exosomes identifies PPARgamma as an exosome-associated protein.	Plasma	ts	Plasma	Protein	Mass spectrometry [LTQ]|Western blotting|Immunoelectron microscopy	2009	Filtration|Size exclusion chromatography|Sucrose density gradient	Exosomes
45	18589210	Homo sapiens	MicroRNA signatures of tumor-derived exosomes as diagnostic biomarkers of ovarian cancer.	Serum	ts	Serum - Papillary adenocarcinoma of ovary	Protein|miRNA	Western blotting|MicroRNA array	2008	Ultracentrifugation|Immunobeads (EpCAM)	Exosomes
46	17641064	Homo sapiens	Exosomes with immune modulatory features are present in human breast milk.	Breast milk	ts	Breast milk - colostrum	Protein	Mass spectrometry [QSTAR]|Western blotting|Immunoelectron microscopy|FACS	2007	Differential centrifugation|Filtration|Sucrose density gradient	Exosomes
47	17641064	Homo sapiens	Exosomes with immune modulatory features are present in human breast milk.	B cells	cl	B cells	Protein	FACS	2007	Differential centrifugation|Filtration|Sucrose density gradient	Exosomes
48	17641064	Homo sapiens	Exosomes with immune modulatory features are present in human breast milk.	Breast milk	ts	Breast milk - mature milk	Protein	Mass spectrometry [QSTAR]|Western blotting|Immunoelectron microscopy|FACS	2007	Differential centrifugation|Filtration|Sucrose density gradient	Exosomes
49	14582906	Homo sapiens	Exosomes with major histocompatibility complex class II and co-stimulatory molecules are present in human BAL fluid.	Bronchoalveolar lavage fluid	ts	Bronchoalveolar lavage fluid	Protein	FACS|Immunoelectron microscopy	2003	Differential centrifugation|Immunobeads (EpCAM)	Exosomes
50	14582906	Homo sapiens	Exosomes with major histocompatibility complex class II and co-stimulatory molecules are present in human BAL fluid.	Dendritic cells	ts	Monocyte-derived dendritic cells	Protein	FACS|Immunoelectron microscopy	2003	Differential centrifugation|Immunobeads (EpCAM)	Exosomes
51	14975938	Homo sapiens	Proteomic analysis of exosomes isolated from human malignant pleural effusions.	Malignant pleural effusions	ts	Pleural Fluid - Breast cancer	Protein	Mass spectrometry [MALDI TOF]|Western blotting	2004	Differential centrifugation|Sucrose density gradient	Exosomes
52	14975938	Homo sapiens	Proteomic analysis of exosomes isolated from human malignant pleural effusions.	Malignant pleural effusions	ts	Pleural Fluid - Lung cancer	Protein	Mass spectrometry [MALDI TOF]|Western blotting	2004	Differential centrifugation|Sucrose density gradient	Exosomes
53	14975938	Homo sapiens	Proteomic analysis of exosomes isolated from human malignant pleural effusions.	Malignant pleural effusions	ts	Pleural Fluid - Mesothelioma	Protein	Mass spectrometry [MALDI TOF]|Western blotting	2004	Differential centrifugation|Sucrose density gradient	Exosomes
54	14975938	Homo sapiens	Proteomic analysis of exosomes isolated from human malignant pleural effusions.	Malignant pleural effusions	ts	Pleural Fluid - Ovarian adenocarcioma	Protein	Western blotting	2004	Differential centrifugation|Sucrose density gradient	Exosomes
55	12147373	Homo sapiens	Malignant effusions and immunogenic tumour-derived exosomes.	Malignant pleural effusions	ts	Malignant pleural effusions	Protein	Western blotting	2002	Differential centrifugation|Sucrose density gradient	Exosomes
56	12147373	Homo sapiens	Malignant effusions and immunogenic tumour-derived exosomes.	Ascites	ts	Malignant ascites	Protein	Western blotting	2002	Differential centrifugation|Sucrose density gradient	Exosomes
57	17700640	Homo sapiens	CD24 is a marker of exosomes secreted into urine and amniotic fluid.	Urine	ts	Urine - Normal	Protein	Western blotting|FACS	2007	Differential centrifugation|Sucrose density gradient	Exosomes
58	17700640	Homo sapiens	CD24 is a marker of exosomes secreted into urine and amniotic fluid.	Amniotic fluid	ts	Amniotic fluid	Protein	Western blotting	2007	Differential centrifugation|Sucrose density gradient	Exosomes
59	17700640	Mus musculus	CD24 is a marker of exosomes secreted into urine and amniotic fluid.	Amniotic fluid	ts	Amniotic fluid	Protein	Western blotting	2007	Differential centrifugation|Sucrose density gradient	Exosomes
60	17700640	Mus musculus	CD24 is a marker of exosomes secreted into urine and amniotic fluid.	Urine	ts	Urine - Normal	Protein	Western blotting	2007	Differential centrifugation|Sucrose density gradient	Exosomes
61	17133577	Mus musculus	Association of citrullinated proteins with synovial exosomes.	Synovial fluid	ts	Synovial fluid - osteoarthritis and reactive arthritis	Protein	Immunoelectron microscopy|Mass spectrometry [MALDI TOF]|Western blotting	2006	Differential centrifugation|Sucrose density gradient	Exosomes
62	17133577	Mus musculus	Association of citrullinated proteins with synovial exosomes.	Synovial fluid	ts	Synovial fluid - rheumatoid arthritis	Protein	Immunoelectron microscopy|Mass spectrometry [MALDI TOF]|Western blotting	2006	Differential centrifugation|Sucrose density gradient	Exosomes
63	19056867	Homo sapiens	Large-scale proteomics and phosphoproteomics of urinary exosomes.	Urine	ts	Urine - Normal	Protein	Mass spectrometry [LTQ]|Western blotting	2009	Differential centrifugation	Exosomes
64	18520029	Homo sapiens	Exosome-like vesicles with dipeptidyl peptidase IV in human saliva.	Saliva	ts	Saliva	Protein	Western blotting|Immunoelectron microscopy|N-terminal animo acid sequencing	2008	Filtration|Diafiltration|Gel filtration	Exosomes
65	19415654	Homo sapiens	Proteomics of MUC1-containing lipid rafts from plasma membranes and exosomes of human breast carcinoma cells MCF-7.	Breast cancer cells	cl	MCF-7	Protein	Mass spectrometry [MALDI TOF]|Western blotting	2009	Differential centrifugation|Sucrose density gradient	Exosomes
66	19199708	Homo sapiens	Proteomic analysis of human parotid gland exosomes by multidimensional protein identification technology (MudPIT).	Saliva	ts	Saliva	Protein	Mass spectrometry [LTQ]|Western blotting|Immunoelectron microscopy	2009	Differential centrifugation	Exosomes
67	19619303	Homo sapiens	Claudin-containing exosomes in the peripheral circulation of women with ovarian cancer.	Ovarian cancer cells	cl	BG-1	Protein	Western blotting|Immunoelectron microscopy	2009	Differential centrifugation|Sucrose density gradient	Exosomes
68	19619303	Homo sapiens	Claudin-containing exosomes in the peripheral circulation of women with ovarian cancer.	Plasma	ts	Plasma - Ovarian cancer	Protein	Western blotting	2009	Differential centrifugation	Exosomes
69	19812188	Rattus norvegicus	Immature dendritic cell-derived exosomes rescue septic animals via milk fat globule epidermal growth factor VIII.	Dendritic cells	cl	Bone marrow-derived immature dendritic cells	Protein	Western blotting	2009	Differential centrifugation|Sucrose density gradient	Exosomes
70	19812188	Rattus norvegicus	Immature dendritic cell-derived exosomes rescue septic animals via milk fat globule epidermal growth factor VIII.	Dendritic cells	cl	Bone marrow-derived mature dendritic cells	Protein	Western blotting	2009	Differential centrifugation	Exosomes
71	19801663	Homo sapiens	Microenvironmental pH is a key factor for exosome traffic in tumor cells.	Melanoma cells	cl	Mel1	Protein|Lipids	Western blotting|Thin layer chromatography	2009	Differential centrifugation|Sucrose density gradient	Exosomes
72	19801663	Homo sapiens	Microenvironmental pH is a key factor for exosome traffic in tumor cells.	Melanoma cells	cl	Me665/1	Protein|Lipids	Western blotting|Thin layer chromatography	2009	Differential centrifugation	Exosomes
73	18494037	Mus musculus	Difference gel electrophoresis analysis of Ras-transformed fibroblast cell-derived exosomes.	Embryonic fibroblasts	cl	NIH3T3	Protein	Mass spectrometry [LCQ DECA]|Western blotting	2008	Differential centrifugation	Exosomes
74	19381331	Homo sapiens	High levels of exosomes expressing CD63 and caveolin-1 in plasma of melanoma patients.	Melanoma cells	cl	Me501	Protein	Western blotting|ELISA|FACS	2009	Differential centrifugation	Exosomes
75	19381331	Homo sapiens	High levels of exosomes expressing CD63 and caveolin-1 in plasma of melanoma patients.	Plasma	ts	Plasma - melanoma	Protein	Western blotting|ELISA|FACS	2009	Differential centrifugation	Exosomes
76	20224111	Homo sapiens	Proteomics analysis of bladder cancer exosomes.	Bladder cancer cells	cl	HT1376	Protein	Mass spectrometry [MALDI TOF/TOF]|Western blotting|FACS	2010	Differential centrifugation|Sucrose density gradient	Exosomes
77	20224111	Homo sapiens	Proteomics analysis of bladder cancer exosomes.	Urine	ts	Urine - Normal	Protein	FACS	2010	Differential centrifugation|Sucrose density gradient	Exosomes
78	20224111	Homo sapiens	Proteomics analysis of bladder cancer exosomes.	Urine	ts	Urine - Prostate cancer	Protein	FACS	2010	Differential centrifugation|Sucrose density gradient	Exosomes
79	20458337	Homo sapiens	MHC class II-associated proteins in B-cell exosomes and potential functional implications for exosome biogenesis - Sample 1	B cells	cl	RN (HLA-DR15)	Protein	Mass spectrometry [FT-ICR]|Western blotting	2010	Differential centrifugation|Sucrose density gradient|Immunobeads (MHC Class II)	Exosomes
80	20458337	Homo sapiens	MHC class II-associated proteins in B-cell exosomes and potential functional implications for exosome biogenesis -Sample 2	B cells	cl	RN (HLA-DR15)	Protein	Mass spectrometry [FT-ICR]|Western blotting	2010	Differential centrifugation|Sucrose density gradient|Immunobeads (MHC Class II)	Exosomes
81	20458337	Homo sapiens	MHC class II-associated proteins in B-cell exosomes and potential functional implications for exosome biogenesis - Sample 3	B cells	cl	RN (HLA-DR15)	Protein	Mass spectrometry [FT-ICR]|Western blotting	2010	Differential centrifugation|Sucrose density gradient|Immunobeads (MHC Class II)	Exosomes
82	20949044	Homo sapiens	Let-7 MicroRNA Family Is Selectively Secreted into the Extracellular Environment via Exosomes in a Metastatic Gastric Cancer Cell Line	Stomach cancer cells	cl	AZ-521	Protein|miRNA	Western blotting|RT-PCR|Human miRNA Microarray Kit	2010	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
83	20949044	Homo sapiens	Let-7 MicroRNA Family Is Selectively Secreted into the Extracellular Environment via Exosomes in a Metastatic Gastric Cancer Cell Line	Lung cancer cells	cl	SBC-3	Protein|miRNA	Western blotting|RT-PCR|Human miRNA Microarray Kit	2010	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
84	20949044	Homo sapiens	Let-7 MicroRNA Family Is Selectively Secreted into the Extracellular Environment via Exosomes in a Metastatic Gastric Cancer Cell Line	Lung cancer cells	cl	DMS-53	miRNA	Human miRNA Microarray Kit|RT-PCR	2010	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
85	20949044	Homo sapiens	Let-7 MicroRNA Family Is Selectively Secreted into the Extracellular Environment via Exosomes in a Metastatic Gastric Cancer Cell Line	Lung cancer cells	cl	NCI-H69	miRNA	Human miRNA Microarray Kit|RT-PCR	2010	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
86	20949044	Homo sapiens	Let-7 MicroRNA Family Is Selectively Secreted into the Extracellular Environment via Exosomes in a Metastatic Gastric Cancer Cell Line	Colorectal cancer cells	cl	SW480	miRNA	Human miRNA Microarray Kit|RT-PCR	2010	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
87	20949044	Homo sapiens	Let-7 MicroRNA Family Is Selectively Secreted into the Extracellular Environment via Exosomes in a Metastatic Gastric Cancer Cell Line	Colorectal cancer cells	cl	SW620	miRNA	RT-PCR	2010	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
88	20949044	Homo sapiens	Let-7 MicroRNA Family Is Selectively Secreted into the Extracellular Environment via Exosomes in a Metastatic Gastric Cancer Cell Line	Stomach cancer cells	cl	AZ-P7a	Protein|miRNA	Immunoelectron microscopy|Western blotting|RT-PCR|Human miRNA Microarray Kit	2010	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
89	20424270	Rattus norvegicus	Exosomes account for vesicle-mediated transcellular transport of activatable phospholipases and prostaglandins.	Basophilic leukemia cells	cl	RBL-2H3	Protein|Lipids	Western blotting|Gas chromatography|Thin layer chromatography|Mass spectrometry [Qstar XL]|FACS	2010	Differential centrifugation|Sucrose density gradient	Exosomes
90	21828046	Rattus norvegicus	The proteo-lipidic composition of exosomes changes during reticulocyte maturation.	Reticulocytes	ts	Reticulocytes - D2 Rep 1	Protein|Lipids	Mass spectrometry [QSTAR]|Mass spectrometry [Orbitrap]|Western blotting	2011	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Exosomes
91	21252909	Homo sapiens	Diacylglycerol kinase a regulates the formation and polarisation of mature multivesicular bodies involved in the secretion of Fas ligand-containing exosomes in T lymphocytes	T cells	cl	J-HM1-2.2	Protein|Lipids	Western blotting|FACS|Immunofluorescent microscopy	2011	Differential centrifugation|Ultracentrifugation	Exosomes
92	20124479	Rattus norvegicus	Cell surface tetraspanin Tspan8 contributes to molecular pathways of exosome-induced endothelial cell activation.	Pancreatic cancer cells	cl	AS	Protein|mRNA	RT-PCR|Western blotting|RatRef-12 Microarray|FACS|Mass spectrometry [MALDI TOF]	2010	Differential centrifugation|Sucrose density gradient	Exosomes
93	20124479	Rattus norvegicus	Cell surface tetraspanin Tspan8 contributes to molecular pathways of exosome-induced endothelial cell activation.	Pancreatic cancer cells	cl	AS-Tspan8	Protein|mRNA	RT-PCR|Western blotting	2010	Differential centrifugation|Sucrose density gradient	Exosomes
94	21828046	Rattus norvegicus	The proteo-lipidic composition of exosomes changes during reticulocyte maturation.	Reticulocytes	ts	Reticulocytes - D4 Rep 1	Protein|Lipids	Mass spectrometry [QSTAR]|Mass spectrometry [Orbitrap]|Western blotting	2011	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Exosomes
95	21828046	Rattus norvegicus	The proteo-lipidic composition of exosomes changes during reticulocyte maturation.	Reticulocytes	ts	Reticulocytes - D7 Rep 1	Protein|Lipids	Mass spectrometry [QSTAR]|Mass spectrometry [Orbitrap]|Western blotting	2011	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Exosomes
96	21828046	Rattus norvegicus	The proteo-lipidic composition of exosomes changes during reticulocyte maturation.	Reticulocytes	ts	Reticulocytes - D2 Rep 2	Protein|Lipids	Mass spectrometry [QSTAR]|Mass spectrometry [Orbitrap]|Western blotting	2011	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Exosomes
97	21828046	Rattus norvegicus	The proteo-lipidic composition of exosomes changes during reticulocyte maturation.	Reticulocytes	ts	Reticulocytes - D4 Rep 2	Protein|Lipids	Mass spectrometry [QSTAR]|Mass spectrometry [Orbitrap]|Western blotting	2011	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Exosomes
98	21828046	Rattus norvegicus	The proteo-lipidic composition of exosomes changes during reticulocyte maturation.	Reticulocytes	ts	Reticulocytes - D7 Rep 2	Protein|Lipids	Mass spectrometry [QSTAR]|Mass spectrometry [Orbitrap]|Western blotting	2011	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Exosomes
99	21828046	Rattus norvegicus	The proteo-lipidic composition of exosomes changes during reticulocyte maturation.	Reticulocytes	ts	Reticulocytes - D2 Rep 3	Protein|Lipids	Mass spectrometry [QSTAR]|Mass spectrometry [Orbitrap]|Western blotting	2011	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Exosomes
100	21828046	Rattus norvegicus	The proteo-lipidic composition of exosomes changes during reticulocyte maturation.	Reticulocytes	ts	Reticulocytes - D4 Rep 3	Protein|Lipids	Mass spectrometry [QSTAR]|Mass spectrometry [Orbitrap]|Western blotting	2011	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Exosomes
101	21828046	Rattus norvegicus	The proteo-lipidic composition of exosomes changes during reticulocyte maturation.	Reticulocytes	ts	Reticulocytes - D7 Rep 3	Protein|Lipids	Mass spectrometry [QSTAR]|Mass spectrometry [Orbitrap]|Western blotting	2011	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Exosomes
102	21082674	Homo sapiens	Comprehensive analysis of low-abundance proteins in human urinary exosomes using peptide ligand library technology, peptide OFFGEL fractionation and nanoHPLC-chip-MS/MS.	Urine	ts	Urine - Normal	Protein	Mass spectrometry|Western blotting|Immunoelectron microscopy	2010	Differential centrifugation|Ultracentrifugation	Exosomes
103	21763319	Homo sapiens	Characterization of soluble and exosomal forms of the EGFR released from pancreatic cancer cells.	Pancreatic cancer cells	cl	Panc1	Protein	Mass spectrometry [Orbitrap]|Western blotting	2011	Differential centrifugation|Filtration|Ultrafiltration|Ultracentrifugation	Exosomes
104	21763319	Homo sapiens	Characterization of soluble and exosomal forms of the EGFR released from pancreatic cancer cells.	Pancreatic cancer cells	cl	BxPC3	Protein	Western blotting	2011	Differential centrifugation|Filtration|Ultrafiltration|Ultracentrifugation	Exosomes
105	21763319	Homo sapiens	Characterization of soluble and exosomal forms of the EGFR released from pancreatic cancer cells.	Pancreatic cancer cells	cl	Paca44	Protein	Western blotting	2011	Differential centrifugation|Filtration|Ultrafiltration|Ultracentrifugation	Exosomes
106	21763319	Homo sapiens	Characterization of soluble and exosomal forms of the EGFR released from pancreatic cancer cells.	Pancreatic cancer cells	cl	MiaPaca2	Protein	Western blotting	2011	Differential centrifugation|Filtration|Ultrafiltration|Ultracentrifugation	Exosomes
107	21763319	Homo sapiens	Characterization of soluble and exosomal forms of the EGFR released from pancreatic cancer cells.	Pancreatic cancer cells	cl	A818-4	Protein	Western blotting	2011	Differential centrifugation|Filtration|Ultrafiltration|Ultracentrifugation	Exosomes
108	21601258	Homo sapiens	Loss of EpCAM expression in breast cancer derived serum exosomes: Role of proteolytic cleavage.	Ascites	ts	Malignant ascites - ovarian cancer	Protein|miRNA	Western blotting|Immunoelectron microscopy	2011	Differential centrifugation|Sucrose density gradient|Immunobeads (EpCAM, CD24)	Exosomes
